@relation segment

@attribute original numeric
@attribute 'Kuwahara_19_ 10_0' numeric
@attribute 'Kuwahara_19_ 10_1' numeric
@attribute 'Kuwahara_19_ 10_2' numeric
@attribute Gabor_1_1.0_1.0_0_2.0 numeric
@attribute Gabor_2_1.0_1.0_0_2.0 numeric
@attribute Gabor_1_1.0_0.5_0_2.0 numeric
@attribute Gabor_2_1.0_0.5_0_2.0 numeric
@attribute Gabor_1_1.0_0.25_0_2.0 numeric
@attribute Gabor_2_1.0_0.25_0_2.0 numeric
@attribute Gabor_1_1.0_1.0_2_2.0 numeric
@attribute Gabor_2_1.0_1.0_2_2.0 numeric
@attribute Gabor_1_1.0_0.5_2_2.0 numeric
@attribute Gabor_2_1.0_0.5_2_2.0 numeric
@attribute Gabor_1_1.0_0.25_2_2.0 numeric
@attribute Gabor_2_1.0_0.25_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_2.0 numeric
@attribute Gabor_2_2.0_1.0_0_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_3.0 numeric
@attribute Gabor_2_2.0_1.0_0_3.0 numeric
@attribute Gabor_1_2.0_2.0_0_2.0 numeric
@attribute Gabor_2_2.0_2.0_0_2.0 numeric
@attribute Gabor_1_2.0_2.0_0_3.0 numeric
@attribute Gabor_2_2.0_2.0_0_3.0 numeric
@attribute Gabor_1_4.0_1.0_0_2.0 numeric
@attribute Gabor_2_4.0_1.0_0_2.0 numeric
@attribute Gabor_1_4.0_1.0_0_3.0 numeric
@attribute Gabor_2_4.0_1.0_0_3.0 numeric
@attribute Gabor_1_4.0_2.0_0_2.0 numeric
@attribute Gabor_2_4.0_2.0_0_2.0 numeric
@attribute Gabor_1_4.0_2.0_0_3.0 numeric
@attribute Gabor_2_4.0_2.0_0_3.0 numeric
@attribute Gabor_1_2.0_1.0_2_2.0 numeric
@attribute Gabor_2_2.0_1.0_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_2_3.0 numeric
@attribute Gabor_2_2.0_1.0_2_3.0 numeric
@attribute Gabor_1_2.0_2.0_2_2.0 numeric
@attribute Gabor_2_2.0_2.0_2_2.0 numeric
@attribute Gabor_1_2.0_2.0_2_3.0 numeric
@attribute Gabor_2_2.0_2.0_2_3.0 numeric
@attribute Gabor_1_4.0_1.0_2_2.0 numeric
@attribute Gabor_2_4.0_1.0_2_2.0 numeric
@attribute Gabor_1_4.0_1.0_2_3.0 numeric
@attribute Gabor_2_4.0_1.0_2_3.0 numeric
@attribute Gabor_1_4.0_2.0_2_2.0 numeric
@attribute Gabor_2_4.0_2.0_2_2.0 numeric
@attribute Gabor_1_4.0_2.0_2_3.0 numeric
@attribute Gabor_2_4.0_2.0_2_3.0 numeric
@attribute Sobel_filter_0.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Derivatives_2_2_1.0 numeric
@attribute Derivatives_3_3_1.0 numeric
@attribute Derivatives_4_4_1.0 numeric
@attribute Derivatives_5_5_1.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Derivatives_2_2_2.0 numeric
@attribute Derivatives_3_3_2.0 numeric
@attribute Derivatives_4_4_2.0 numeric
@attribute Derivatives_5_5_2.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Derivatives_2_2_4.0 numeric
@attribute Derivatives_3_3_4.0 numeric
@attribute Derivatives_4_4_4.0 numeric
@attribute Derivatives_5_5_4.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Derivatives_2_2_8.0 numeric
@attribute Derivatives_3_3_8.0 numeric
@attribute Derivatives_4_4_8.0 numeric
@attribute Derivatives_5_5_8.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Derivatives_2_2_16.0 numeric
@attribute Derivatives_3_3_16.0 numeric
@attribute Derivatives_4_4_16.0 numeric
@attribute Derivatives_5_5_16.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {'class 1','class 2'}

@data
147,149.289474,149.289474,149.289474,-1.085101,-1.522948,-1.281939,-1.52468,-1.406295,-1.778997,0.897925,-0.701548,0.853285,-0.645413,1.219382,-0.279713,-0.780371,-1.413114,0.196443,-1.592813,-0.849857,-1.341339,0.041659,-1.52944,-0.030927,-1.013746,0.556371,-0.525354,-0.191384,-0.829987,0.30123,-0.463336,0.847106,-0.583061,0.791472,-0.676995,0.786685,-0.64502,0.876851,-0.594971,1.155075,-0.115041,1.598953,-0.475914,0.71245,-0.516557,1.167168,-0.533788,61.400326,59.280174,-0.368801,-0.514548,0.383709,-4.743977,46.948696,-0.144083,0.001056,-0.067656,-0.001935,28.231535,-0.008868,-0.001165,-0.000354,-0.000085,11.085483,0.00033,0.000008,0,0,2.189986,-0.000003,0,0,0,143.781723,154.842102,134.368423,1437.817261,7.884151,141.381577,'class 1'
164,151.289474,151.289474,151.289474,-0.598114,-0.96538,-1.011476,-1.151187,-1.282408,-1.642099,0.323514,-0.523413,0.384172,-0.508008,0.626348,-0.511873,-0.263554,-0.649622,0.91999,-0.430554,-0.140086,-0.43025,0.668231,-0.43801,-0.01323,-1.140325,1.54134,-0.226677,0.389277,-0.548687,1.247511,0.175887,0.457287,-0.447842,0.526911,-0.878847,0.475013,-0.522969,0.48195,-0.737066,0.341286,-0.576399,0.762795,-0.434795,0.114793,-0.384879,0.554122,-0.423991,36.715118,36.23061,-0.932705,1.492789,-2.406032,3.793146,30.261326,0.236629,0.013189,0.013634,0.019513,12.501643,0.012911,0.002615,0.000551,0.000096,1.534644,0.000395,0.000021,0,0,2.369418,-0.000001,0,0,0,147.173248,155.5,132.972229,1471.732422,7.173191,148.83699,'class 1'
141,145.60527,145.60527,145.60527,-1.401133,-1.561248,-1.349196,-1.471593,-1.414289,-1.773959,0.138383,-0.637384,0.071188,-0.954467,0.146141,-1.327601,-1.060707,-1.347655,-0.592878,-1.321852,-1.236619,-1.439818,-0.97481,-1.358856,-0.077282,-1.162915,0.338581,-0.704124,-0.00424,-0.842294,-0.086994,-0.721244,0.104643,-0.967107,0.483988,-1.024094,0.298959,-0.59846,0.277795,-0.573606,-0.022123,-0.94505,0.019241,-1.466342,0.257365,-0.966883,0.239011,-1.141807,39.395432,38.197529,-2.25988,0.192427,-5.409146,-1.684362,33.013264,-0.099,0.000658,-0.064481,0.026146,29.923609,0.014992,0.000421,0.000109,0.000027,10.005625,0.00022,0.000012,0.000001,0,1.326319,-0.000007,0,0,0,145.367401,153.236847,136.305557,1453.67395,6.661397,147.644745,'class 1'
147,145.447372,145.447372,145.447372,-1.208374,-1.423611,-1.311367,-1.517463,-1.447331,-1.786035,0.652147,0.095682,0.344368,-0.123663,0.481881,-0.479743,-0.823568,-1.422338,-0.174544,-1.497786,-0.829363,-1.329507,-0.28662,-1.158868,-0.160712,-1.256158,0.529452,-0.91831,-0.089484,-0.893421,0.396151,-0.952238,0.248449,-0.208567,1.269775,-0.152475,0.4134,-0.140741,1.33324,0.043637,-0.047837,-0.665939,0.263239,-0.762373,0.025802,-0.4754,0.248502,-0.423919,43.174065,39.552887,0.476633,-0.191121,0.703283,-0.901668,19.072533,-0.07239,0.002259,0.042905,-0.012362,8.973222,0.008824,-0.002075,-0.000301,-0.000108,5.654862,0.00004,-0.000006,0.000001,0,0.627338,-0.000011,0,0,0,143.905548,150.5,132.315796,1439.055542,5.811113,145.697372,'class 1'
147,145.60527,145.60527,145.60527,-1.063923,-1.394087,-1.564941,-1.65504,-1.684255,-1.901275,0.515203,-0.680358,0.337159,-0.516788,0.456182,-0.447558,-1.143861,-1.351571,0.439193,-0.64336,-0.984873,-1.103261,0.595961,-0.393192,-0.817071,-1.383849,-0.045708,-0.848716,-0.809389,-1.203253,-0.272703,-0.776808,0.274844,-0.406185,0.970039,-1.396766,0.313092,-0.538584,0.984299,-1.076376,0.321397,-0.287949,-0.070421,-0.553428,0.215629,-0.188886,-0.031158,-0.544438,42.801868,39.9282,1.620307,-2.572598,0.933801,3.884961,23.113237,0.043957,0.011001,0.071339,-0.05521,1.739745,-0.006344,0.001177,-0.000186,0.000119,14.14668,0.000418,-0.000026,0.000001,0,2.688899,-0.00002,0,0,0,142.957169,150.277771,135.361115,1429.571655,4.644423,143.986847,'class 1'
150,145.60527,145.60527,145.60527,-0.960605,-1.439913,-1.216107,-1.539709,-1.439416,-1.851843,0.034146,-0.803154,0.169769,-0.458345,0.682491,-0.611466,-0.524199,-1.498014,0.548884,-1.347198,-0.575154,-1.323548,0.424396,-1.345761,-0.28755,-1.214937,1.020145,-0.994719,-0.14017,-0.743225,0.854235,-0.730101,0.189051,-0.536478,0.214733,-1.478403,-0.00771,-0.597273,0.139669,-1.422582,1.117707,0.08479,0.606276,-0.897063,0.842365,-0.129987,0.104902,-0.928403,53.084839,48.706818,-0.4932,-0.637063,0.072022,2.186698,22.894533,-0.095245,-0.108226,0.000912,-0.036318,15.169362,0.017259,-0.00226,-0.00007,-0.000097,26.961372,0.000106,-0.000025,0.000002,0,2.945724,-0.000018,0,0,0,143.568878,150.388885,135.052628,1435.688721,5.786477,142.921051,'class 1'
158,146.657898,146.657898,146.657898,-0.667026,-1.181582,-1.136623,-1.502095,-1.442836,-1.839588,0.892885,-0.325619,1.100339,-0.029963,1.101638,0.488651,-0.190798,-1.277031,1.306147,-0.833586,-0.13374,-0.987245,1.214988,-0.639675,-0.319037,-1.126109,1.651952,-0.350891,-0.102371,-0.629801,1.420694,-0.377675,1.08143,-0.083199,1.213151,-0.275874,0.884329,-0.319186,1.00532,-0.394439,1.605118,-0.181606,1.135561,-0.087884,1.50695,0.07418,1.021726,-0.366085,61.269894,60.049374,0.295612,-1.02613,-2.046428,0.711474,53.62323,0.137538,-0.082875,0.021469,-0.016962,46.843491,0.022311,-0.002278,0.000268,-0.000032,34.097828,-0.000479,-0.000024,0.000001,0,2.852903,-0.000017,0,0,0,140.725143,148.027771,130.222229,1407.251465,5.332563,141.092102,'class 1'
163,145.763153,145.763153,145.763153,-0.756424,-0.86302,-1.126768,-1.245377,-1.394613,-1.613443,0.906645,-0.645727,1.018282,-0.237477,1.236316,-0.276986,-0.477469,-0.82479,0.457037,-0.129087,-0.356462,-0.627482,0.543128,0.04705,-0.156604,-0.785694,0.986937,-0.078845,-0.020428,-0.433374,0.809765,0.120854,1.035758,-0.29382,1.367247,-1.391324,0.813952,-0.6902,1.17588,-1.060479,1.164848,-0.218435,1.117446,-0.941306,1.038606,0.039608,0.920152,-0.804393,58.940647,56.259445,0.695331,0.2695,0.976876,-1.252122,41.149521,0.179725,-0.025979,0.034297,-0.023777,29.450109,0.025993,-0.001132,0.000312,0.000017,29.857147,-0.000222,-0.000041,0.000002,0,4.395852,-0.00002,0,0,0,143.637131,149.861115,135.722229,1436.371338,4.434109,144.505127,'class 1'
169,150.815796,150.815796,150.815796,-0.526794,-0.663031,-1.079267,-1.187764,-1.424972,-1.669962,0.476975,-0.083539,0.743051,0.052751,1.187046,0.013003,-0.314751,-0.585358,0.762893,0.102973,-0.095173,-0.267174,0.815598,0.460018,-0.177981,-0.797302,1.268824,0.100304,0.048754,-0.391524,1.193508,0.558163,0.777166,-0.001848,0.822438,-1.094245,0.453132,-0.208106,0.590082,-0.703479,1.345399,-0.438275,0.802353,-0.65713,1.239292,-0.146943,0.684195,-0.524594,24.413111,24.344494,1.930109,0.448633,1.870615,9.810344,25.688938,0.339403,0.019852,0.034635,0.004289,33.858898,0.026823,-0.001261,0.000448,0.000031,33.801323,-0.000547,-0.000041,0.000001,0,4.409129,-0.00002,0,0,0,143.191513,149.888885,136.305557,1431.915161,4.26932,143.891083,'class 1'
164,150.447372,150.447372,150.447372,-0.72105,-0.822543,-1.103119,-1.190762,-1.424444,-1.650038,0.45656,-0.746655,0.573554,-0.634643,0.815101,-0.79144,-0.37503,-0.644087,0.64403,-0.413383,-0.262409,-0.508001,0.500833,-0.209633,-0.106428,-0.911457,0.891353,0.253461,0.168173,-0.449929,1.044942,0.634748,0.532621,-0.597743,0.406854,-1.406082,0.490755,-0.669599,0.514188,-1.124172,1.105727,-0.729732,0.216233,-0.88574,0.81896,-0.568001,0.344531,-0.743103,59.076221,55.906658,0.851418,-0.865722,-0.702782,-12.003104,38.5858,0.290794,0.041564,0.011809,0.026061,28.402676,0.026567,-0.000948,0.000396,0.000017,31.678005,-0.000543,-0.000055,0.000001,0,5.651872,-0.000022,0,0,0,145.096191,151,138.526321,1450.961914,3.720426,144.790192,'class 1'
