@relation segment

@attribute original numeric
@attribute Lipschitz_true_true_5.0 numeric
@attribute Lipschitz_true_true_10.0 numeric
@attribute Lipschitz_true_true_15.0 numeric
@attribute Lipschitz_true_true_20.0 numeric
@attribute Lipschitz_true_true_25.0 numeric
@attribute 'Kuwahara_19_ 10_0' numeric
@attribute 'Kuwahara_19_ 10_1' numeric
@attribute 'Kuwahara_19_ 10_2' numeric
@attribute Gabor_1_1.0_1.0_0_2.0 numeric
@attribute Gabor_2_1.0_1.0_0_2.0 numeric
@attribute Gabor_1_1.0_0.5_0_2.0 numeric
@attribute Gabor_2_1.0_0.5_0_2.0 numeric
@attribute Gabor_1_1.0_0.25_0_2.0 numeric
@attribute Gabor_2_1.0_0.25_0_2.0 numeric
@attribute Gabor_1_1.0_1.0_2_2.0 numeric
@attribute Gabor_2_1.0_1.0_2_2.0 numeric
@attribute Gabor_1_1.0_0.5_2_2.0 numeric
@attribute Gabor_2_1.0_0.5_2_2.0 numeric
@attribute Gabor_1_1.0_0.25_2_2.0 numeric
@attribute Gabor_2_1.0_0.25_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_2.0 numeric
@attribute Gabor_2_2.0_1.0_0_2.0 numeric
@attribute Gabor_1_2.0_1.0_0_3.0 numeric
@attribute Gabor_2_2.0_1.0_0_3.0 numeric
@attribute Gabor_1_2.0_2.0_0_2.0 numeric
@attribute Gabor_2_2.0_2.0_0_2.0 numeric
@attribute Gabor_1_2.0_2.0_0_3.0 numeric
@attribute Gabor_2_2.0_2.0_0_3.0 numeric
@attribute Gabor_1_4.0_1.0_0_2.0 numeric
@attribute Gabor_2_4.0_1.0_0_2.0 numeric
@attribute Gabor_1_4.0_1.0_0_3.0 numeric
@attribute Gabor_2_4.0_1.0_0_3.0 numeric
@attribute Gabor_1_4.0_2.0_0_2.0 numeric
@attribute Gabor_2_4.0_2.0_0_2.0 numeric
@attribute Gabor_1_4.0_2.0_0_3.0 numeric
@attribute Gabor_2_4.0_2.0_0_3.0 numeric
@attribute Gabor_1_2.0_1.0_2_2.0 numeric
@attribute Gabor_2_2.0_1.0_2_2.0 numeric
@attribute Gabor_1_2.0_1.0_2_3.0 numeric
@attribute Gabor_2_2.0_1.0_2_3.0 numeric
@attribute Gabor_1_2.0_2.0_2_2.0 numeric
@attribute Gabor_2_2.0_2.0_2_2.0 numeric
@attribute Gabor_1_2.0_2.0_2_3.0 numeric
@attribute Gabor_2_2.0_2.0_2_3.0 numeric
@attribute Gabor_1_4.0_1.0_2_2.0 numeric
@attribute Gabor_2_4.0_1.0_2_2.0 numeric
@attribute Gabor_1_4.0_1.0_2_3.0 numeric
@attribute Gabor_2_4.0_1.0_2_3.0 numeric
@attribute Gabor_1_4.0_2.0_2_2.0 numeric
@attribute Gabor_2_4.0_2.0_2_2.0 numeric
@attribute Gabor_1_4.0_2.0_2_3.0 numeric
@attribute Gabor_2_4.0_2.0_2_3.0 numeric
@attribute Sobel_filter_0.0 numeric
@attribute Hessian_0.0 numeric
@attribute Hessian_Trace_0.0 numeric
@attribute Hessian_Determinant_0.0 numeric
@attribute Hessian_Eigenvalue_1_0.0 numeric
@attribute Hessian_Eigenvalue_2_0.0 numeric
@attribute Hessian_Orientation_0.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_0.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_0.0 numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Sobel_filter_1.0 numeric
@attribute Hessian_1.0 numeric
@attribute Hessian_Trace_1.0 numeric
@attribute Hessian_Determinant_1.0 numeric
@attribute Hessian_Eigenvalue_1_1.0 numeric
@attribute Hessian_Eigenvalue_2_1.0 numeric
@attribute Hessian_Orientation_1.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_1.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_1.0 numeric
@attribute Variance_1.0 numeric
@attribute Derivatives_2_2_1.0 numeric
@attribute Derivatives_3_3_1.0 numeric
@attribute Derivatives_4_4_1.0 numeric
@attribute Derivatives_5_5_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Sobel_filter_2.0 numeric
@attribute Hessian_2.0 numeric
@attribute Hessian_Trace_2.0 numeric
@attribute Hessian_Determinant_2.0 numeric
@attribute Hessian_Eigenvalue_1_2.0 numeric
@attribute Hessian_Eigenvalue_2_2.0 numeric
@attribute Hessian_Orientation_2.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_2.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_2.0 numeric
@attribute Variance_2.0 numeric
@attribute Derivatives_2_2_2.0 numeric
@attribute Derivatives_3_3_2.0 numeric
@attribute Derivatives_4_4_2.0 numeric
@attribute Derivatives_5_5_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Sobel_filter_4.0 numeric
@attribute Hessian_4.0 numeric
@attribute Hessian_Trace_4.0 numeric
@attribute Hessian_Determinant_4.0 numeric
@attribute Hessian_Eigenvalue_1_4.0 numeric
@attribute Hessian_Eigenvalue_2_4.0 numeric
@attribute Hessian_Orientation_4.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_4.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_4.0 numeric
@attribute Variance_4.0 numeric
@attribute Derivatives_2_2_4.0 numeric
@attribute Derivatives_3_3_4.0 numeric
@attribute Derivatives_4_4_4.0 numeric
@attribute Derivatives_5_5_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Sobel_filter_8.0 numeric
@attribute Hessian_8.0 numeric
@attribute Hessian_Trace_8.0 numeric
@attribute Hessian_Determinant_8.0 numeric
@attribute Hessian_Eigenvalue_1_8.0 numeric
@attribute Hessian_Eigenvalue_2_8.0 numeric
@attribute Hessian_Orientation_8.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_8.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_8.0 numeric
@attribute Variance_8.0 numeric
@attribute Derivatives_2_2_8.0 numeric
@attribute Derivatives_3_3_8.0 numeric
@attribute Derivatives_4_4_8.0 numeric
@attribute Derivatives_5_5_8.0 numeric
@attribute Gaussian_blur_16.0 numeric
@attribute Sobel_filter_16.0 numeric
@attribute Hessian_16.0 numeric
@attribute Hessian_Trace_16.0 numeric
@attribute Hessian_Determinant_16.0 numeric
@attribute Hessian_Eigenvalue_1_16.0 numeric
@attribute Hessian_Eigenvalue_2_16.0 numeric
@attribute Hessian_Orientation_16.0 numeric
@attribute Hessian_Square_Eigenvalue_Difference_16.0 numeric
@attribute Hessian_Normalized_Eigenvalue_Difference_16.0 numeric
@attribute Variance_16.0 numeric
@attribute Derivatives_2_2_16.0 numeric
@attribute Derivatives_3_3_16.0 numeric
@attribute Derivatives_4_4_16.0 numeric
@attribute Derivatives_5_5_16.0 numeric
@attribute Membrane_projections_0_19_1 numeric
@attribute Membrane_projections_1_19_1 numeric
@attribute Membrane_projections_2_19_1 numeric
@attribute Membrane_projections_3_19_1 numeric
@attribute Membrane_projections_4_19_1 numeric
@attribute Membrane_projections_5_19_1 numeric
@attribute class {cytosol,membrane}

@data
29,166,184,199,214,229,28.18421,28.18421,28.18421,-0.374979,-0.654821,-0.046618,-0.60257,0.575406,-0.207919,0.190123,-0.404144,0.359809,-0.535318,0.83774,-0.771241,-0.241543,-2.177421,0.344971,-2.872058,-0.551142,-2.164247,0.472403,-2.045825,0.0318,-1.936617,-0.519064,-4.556987,-0.729206,-2.150361,-0.940619,-4.494108,0.332595,-0.545811,0.537528,-1.296652,0.26056,-0.289605,0.394225,-1.248891,1.091956,-0.721201,0.649608,-1.231128,0.974214,-0.433213,0.711689,-0.720686,23.323807,770.45636,778,-66740,1049.395386,-271.395325,-1.093656,527955329024,872244,28.262026,19.36595,810.665833,840.511353,-49472.242188,1092.69458,-252.183258,-1.098979,638885232640,904348.25,9.777778,4.29192,7.895856,13.804985,33.977203,26.382572,9.820312,947.065796,1078.340454,63350.75,1213.490234,-135.149826,-1.121522,1057484308480,909415.0625,208.965988,-0.691598,-0.218789,0.024007,0.022787,40.418259,34.608902,636.641846,783.036987,80565.8125,772.886841,10.150172,-1.105995,178354372608,290883.59375,1202.248047,-0.059337,-0.004737,-0.0012,-0.000241,68.631226,29.92252,163.825302,206.903473,6537.167969,194.721603,12.181875,-1.077777,713214784,16660.375,1062.387329,-0.002036,-0.000024,-0.000004,0,84.944077,11.40134,13.685072,14.225967,-16.081871,18.660833,-4.434865,-1.070393,53975.390625,266.705627,713.591248,0.000025,0,0,0,72.813309,87.083336,54.184212,728.133057,13.023982,76.388885,cytosol
29,166,181,196,211,224,27.282608,32.236839,91.673912,-0.333669,-0.77786,-0.065234,-0.599732,0.518765,-0.218191,0.426253,-0.084274,0.669242,-1.129635,0.631904,-1.615611,-0.193423,-1.913255,0.360896,-2.824198,-0.469967,-1.896352,0.361864,-2.021595,-0.032516,-1.948702,-0.35116,-4.089114,-0.702707,-2.103445,-0.648932,-3.968131,0.961657,-1.751375,0.397932,-0.955263,1.033193,-1.288474,0.570035,-0.694257,1.204399,-1.356858,0.940817,-2.32373,1.291178,-1.116493,1.411723,-2.022781,11.313708,857.537781,850,-73780,1138.309204,-288.309204,-1.163375,735230427136,1017620,28.281643,16.964664,863.661011,874.790894,-57081.304688,1142.230347,-267.439423,-1.159333,760349523968,993584.375,26.888889,2.671911,5.902018,17.255445,41.720512,27.216297,57.837788,849.871033,947.539795,32425.914063,1093.498901,-145.959076,-1.139716,689649614848,768128,413.555542,-0.52781,-0.154106,0.055169,0.062058,39.935234,56.944561,560.849854,685.440125,57932.128906,687.756042,-2.315941,-1.095557,111865937920,238099.6875,1061.114136,-0.060537,-0.004779,-0.001129,-0.000226,65.995766,27.802387,164.732651,210.174988,6940.704102,195.670898,14.504082,-1.036037,724918848,16410.708984,1089.203735,-0.002186,-0.000033,-0.000005,0,83.598412,11.256012,15.886798,17.305573,-14.340553,22.010275,-4.704703,-0.984687,106868.960938,356.845032,730.081482,0.000022,0,0,0,71.500587,84.447365,54.86842,715.005859,11.467399,73.569443,cytosol
17,152,168,178,188,198,28.543478,28.543478,92.282608,-0.51624,-1.210398,-0.080051,-0.506592,0.463929,-0.137499,0.699772,-0.647612,1.33741,-1.980307,0.910398,-2.558368,-0.219985,-1.449966,-0.320485,-2.850763,-0.53395,-1.494643,-0.405399,-2.656233,-0.017118,-1.727959,-0.201559,-2.994647,-0.573906,-1.829002,-0.38316,-2.880327,1.582431,-2.716889,0.550813,-1.347419,1.678798,-2.218825,0.498697,-0.687076,1.460384,-1.933768,1.155683,-3.584062,1.742873,-1.721336,1.896863,-3.132809,67.052216,1176.151367,1424,247724,1432.027832,-8.027778,-1.140563,2102560423936,1036880,18.714268,75.65963,1111.954956,1345.160767,219521.375,1354.99231,-9.831492,-1.140268,1685277900800,931371.9375,182.839508,-4.697938,-4.464266,-12.536358,-25.133394,28.434376,109.969276,781.954468,943.08313,104952.195313,956.101685,-13.018577,-1.13811,417662337024,469597.0625,716.888916,-0.34124,-0.077354,-0.015111,0.000894,42.872463,86.550591,435.998169,538.650635,39405.84375,526.736572,11.914046,-1.106598,38450278400,132521.125,1004.637146,-0.055871,-0.004055,-0.000848,-0.00015,64.626839,30.501499,153.566132,196.469543,6061.560059,182.952072,13.517468,-1.013051,554070080,14354.042969,1114.445557,-0.002251,-0.00004,-0.000005,0,82.335854,11.092332,17.711739,19.533127,-19.107895,24.89889,-5.365763,-0.922882,174737.03125,457.974609,748.363281,0.000018,0,0,0,71.257019,81.710526,58.552631,712.57019,9.06636,71.736115,cytosol
25,166,188,204,219,234,26.657894,26.657894,27.81579,-0.491203,-0.71168,-0.207749,-0.595436,0.420057,-0.39152,0.247226,-0.145726,0.201727,-0.604047,0.42923,-1.014213,-0.308327,-1.999445,-0.339595,-1.645659,-0.54666,-1.898451,-0.227597,-1.109376,-0.00796,-2.291214,-0.179896,-4.704101,-0.56103,-2.271872,-0.240067,-4.225314,0.221006,-0.849749,0.560351,-0.551687,0.318732,-0.547883,0.541373,-0.720166,0.570496,-0.729584,0.094529,-1.551791,0.592538,-0.476934,0.534938,-1.193813,8,524.697083,690,81772,617.957886,72.04213,-0.790579,70944612352,149012,24.55126,4.024121,559.2854,727.955444,85196.484375,671.494507,56.46093,-0.839787,100225277952,189133.15625,20.691359,2.976851,11.894894,19.518959,67.386436,24.123533,18.918421,703.959045,863.141113,77917.59375,897.049988,-33.908901,-0.974132,322845442048,433342.25,128.15419,-0.635392,-0.111383,0.003174,0.127657,35.839981,23.618536,553.000732,663.581421,39595.949219,707.261414,-43.679974,-1.026431,124156796928,281956.46875,913.457092,-0.061408,-0.005781,-0.001146,-0.000255,61.929276,18.527456,179.498154,223.439697,6747.412598,218.80777,4.631921,-1.056124,1145069056,22935.648438,1158.559937,-0.001975,-0.000036,-0.000005,0,81.759468,11.528547,19.294321,20.851242,-18.57164,26.379631,-5.528389,-1.027695,221326.578125,509.060852,771.691162,0.000022,0,0,0,68.415054,82.444443,45.722221,684.150574,14.360965,73.347229,cytosol
24,167,187,202,217,229,28.18421,29.026316,29.026316,-0.43311,-0.890036,-0.148123,-0.575016,0.400169,-0.341229,0.331504,-0.779203,0.785513,-1.417707,0.497987,-1.845325,-0.259672,-1.649663,-0.262514,-2.246623,-0.494264,-1.583679,-0.290693,-1.861125,0.060685,-2.118639,-0.068609,-3.775312,-0.405773,-2.043477,-0.120442,-3.340081,0.922799,-1.934172,0.127694,-1.08162,0.882945,-1.611209,0.464725,-0.741157,0.925228,-1.437467,0.509481,-3.039218,1.170141,-1.185068,1.250091,-2.530891,37.121422,762.036072,910,59976,997.308044,-87.308029,-0.972262,487085113344,588196,24.145821,40.555069,750.771301,898.75061,61823.03125,978.743103,-79.992508,-0.977404,452713512960,560460.5625,89.555557,-0.977672,-1.81481,4.69838,-3.729033,26.79682,70.739937,673.549011,811.386108,59624.867188,863.867676,-52.481586,-1.008411,276405846016,419848,393.283447,-0.471807,-0.059225,-0.022083,0.025692,38.460518,60.973396,455.762177,544.773926,25628.019531,584.049133,-39.275188,-1.030475,57654173696,194266.59375,831.638062,-0.056274,-0.005286,-0.000882,-0.00018,60.768536,20.842323,168.571335,207.69371,5227.47168,209.266953,-1.57324,-1.036898,958790016,22226.792969,1169.038452,-0.001995,-0.000046,-0.000005,0,80.433884,11.332886,20.970366,22.811783,-28.731316,29.228666,-6.416884,-0.970272,330597.1875,635.302673,794.792847,0.000018,-0.000001,0,0,68.131729,81.026314,48.138889,681.317261,12.758622,71.277779,cytosol
23,166,185,197,207,217,28.586956,32.236839,93.282608,-0.199942,-1.126742,-0.022627,-0.44295,0.415424,-0.20992,0.870575,-1.711018,1.332614,-2.446975,0.85438,-2.879113,-0.076317,-1.093787,0.105764,-2.688128,-0.250841,-1.024665,0.020873,-2.257605,0.153269,-1.742365,0.034334,-2.391383,-0.211707,-1.63418,0.00601,-2.062035,1.480045,-2.800165,0.467046,-2.076963,1.561087,-2.431878,0.290494,-1.302973,1.24664,-2.220646,0.842902,-3.966087,1.621797,-1.891438,1.684906,-3.365441,121.696342,903.052612,964,-43456,1224.670898,-260.670868,-1.059853,1025124990976,1103120,24.993273,123.313606,841.59198,902.057861,-32864,1138.475098,-236.417206,-1.061765,769088159744,945164.375,311.580261,-5.737802,-12.654383,-23.675369,-72.344086,34.29459,126.377693,547.849854,607.477051,2881.066406,726.529297,-119.052238,-1.071768,131929137152,357504.0625,634.916077,-0.214449,-0.023656,-0.046933,-0.083092,44.175995,89.999008,312.398407,364.432861,8282.017578,405.468781,-41.035931,-1.048033,13239060480,99683.234375,858.213013,-0.04638,-0.004033,-0.000461,-0.000069,60.749805,28.609175,147.873871,179.520386,3330.144287,186.989273,-7.468893,-1.027743,609326336,18906.990234,1174.31604,-0.001933,-0.000054,-0.000005,0,79.221077,11.327125,22.081606,23.809082,-47.385956,31.352114,-7.543032,-0.928429,428791.46875,756.416199,827.545471,0.000013,-0.000001,0,0,68.928215,80.394737,53.194443,689.282166,10.091019,69.625,cytosol
28,168,195,219,234,249,26.657894,26.657894,27.81579,-0.413931,-0.620328,-0.143318,-0.570214,0.402058,-0.469494,0.350026,-0.366307,0.608893,-0.977181,0.515412,-1.230961,-0.089122,-1.702225,0.100984,-1.616268,-0.290124,-1.547543,0.069315,-1.052971,0.21487,-2.391788,0.119005,-4.320668,-0.180144,-2.16725,0.214439,-3.674612,0.649604,-1.4247,0.214981,-0.959655,0.586772,-1.178193,0.40732,-0.55981,0.521744,-0.910953,0.34019,-2.286923,0.717344,-0.776464,0.911828,-1.945648,13.038404,468.507202,494,-30072,673.804382,-179.804398,-0.919541,88908169216,364324,27.819334,19.275726,486.663116,514.888306,-30392.207031,697.147888,-182.259598,-0.927655,102512402432,386678.78125,31.506172,0.911515,5.485266,5.359465,27.651213,28.165209,49.146412,557.537598,602.439575,-24869.21875,782.0578,-179.618225,-0.961646,167824195584,462410.375,225.63266,-0.473213,-0.075365,0.026093,0.05977,36.707016,40.881969,456.77948,511.3508,-2055.941406,622.896973,-111.546196,-0.98804,70521946112,269703.40625,748.103394,-0.053934,-0.00635,-0.00088,-0.000206,58.166504,12.61853,175.145172,206.173508,2943.583008,227.048798,-20.875296,-1.033288,1306391168,30733.179688,1203.396851,-0.001621,-0.000058,-0.000005,0,78.526268,11.74511,23.593367,24.838287,-59.371399,33.088276,-8.24999,-0.992409,527130.125,854.426147,867.638611,0.000016,-0.000001,0,0,65.148247,80.611115,36.25,651.482483,16.504044,70.402771,cytosol
24,165,193,208,222,234,26.657894,26.657894,27.81579,-0.280075,-0.96572,-0.056475,-0.508231,0.411325,-0.376817,0.569701,-1.044263,1.24184,-1.898773,0.96935,-2.098591,0.052634,-1.291193,0.176385,-2.225764,-0.116824,-1.143798,0.205513,-1.793597,0.292893,-2.08168,0.254551,-3.113988,-0.036326,-1.842582,0.312547,-2.604148,1.29952,-2.234164,0.602212,-1.347142,1.242991,-1.956053,-0.034372,-0.463034,0.954015,-1.777859,0.837143,-3.424659,1.316211,-1.556403,1.562224,-2.990133,76.419891,732.592651,764,-67236,1034.931885,-270.931854,-0.983294,497682546688,852640,25.560352,80.522629,694.192749,719.040833,-64660.3125,982.280762,-263.23996,-0.985656,401031987200,775660.9375,152.913574,-4.354198,-6.2379,-21.208628,-35.773598,32.780899,96.667229,512.727783,516.371216,-43959.300781,728.545288,-212.174042,-0.998768,117981569024,442476.40625,443.773254,-0.224971,-0.044189,-0.005233,-0.039545,41.208004,74.557243,344.621216,366.246185,-10611.068359,480.259888,-114.013702,-0.998583,23685855232,176580.546875,770.802063,-0.045421,-0.005091,-0.00049,-0.000106,57.967228,21.027443,158.563675,182.376236,1330.324219,209.382431,-27.006195,-1.028658,929307968,27939.791016,1177.857178,-0.001543,-0.000068,-0.000005,0,77.220261,11.750255,24.639845,25.693222,-84.221802,35.174049,-9.480825,-0.955631,658180.3125,997.02887,914.999207,0.000011,-0.000001,0,0,65.552338,80.473686,37.611111,655.523376,14.70182,69.208336,cytosol
31,169,194,217,238,254,28.131578,28.131578,28.131578,-0.32328,-0.520346,-0.139501,-0.563499,0.409018,-0.540737,0.181215,-0.204475,0.429019,-0.632162,0.468698,-0.891947,-0.007394,-1.715996,0.280752,-1.269738,-0.254816,-1.57841,0.213431,-0.617599,0.335992,-2.54894,0.379898,-4.605005,-0.063952,-2.274177,0.344772,-3.948441,0.497186,-0.940474,0.302191,-0.72143,0.512839,-0.815957,0.101332,-0.163546,0.233788,-0.321448,0.39158,-1.412307,0.398707,-0.37154,0.736059,-1.314617,11.401754,347.532745,294,-52816,532.810852,-238.810837,-0.888769,25731997696,297700,30.31374,15.804023,379.705872,338.418518,-53723.738281,575.055298,-236.636795,-0.904133,37727748096,329422.03125,18.395061,3.985014,4.899444,15.850554,10.778129,28.315657,33.0037,521.982605,529.481995,-49115.683594,753.010315,-223.528351,-0.954259,133675343872,476813.90625,123.133789,-0.425399,-0.070358,0.062483,0.08695,35.333336,22.837427,469.225128,503.950287,-17789,655.163635,-151.213318,-0.981796,82569863168,325121.875,729.367188,-0.051441,-0.006843,-0.000864,-0.000234,56.387188,9.697012,178.288956,201.499847,763.169922,237.770935,-36.27108,-1.031632,1524592384,37549.511719,1207.644653,-0.001174,-0.000074,-0.000004,0,76.593689,12.460381,25.389933,25.62468,-106.90612,36.095901,-10.471224,-0.995906,711943.9375,1084.248657,981.613831,0.000013,-0.000001,0,0,62.430702,80.842102,30.361111,624.307007,19.088591,69.416672,cytosol
25,163,190,209,223,236,26.657894,26.657894,27.81579,-0.295739,-0.801618,-0.110035,-0.536937,0.394242,-0.481811,0.647935,-0.479838,1.038841,-1.395354,1.014732,-1.697332,-0.005602,-1.412448,0.217097,-1.36506,-0.261918,-1.327531,0.046516,-1.303339,0.361545,-2.329205,0.419701,-3.637903,0.001819,-2.060527,0.335928,-3.110839,1.148702,-1.72573,0.605073,-1.090041,1.111898,-1.564377,0.415279,-0.133314,0.735117,-1.231295,0.961698,-2.678496,1.091033,-1.162253,1.487161,-2.48457,44.384682,609.235596,620,-51184,852.741211,-232.741196,-1.026545,226463875072,589136,25.71896,49.785366,595.423828,608.201721,-47131.476563,832.511353,-224.309616,-1.026253,206570405888,558435.25,79.580246,-0.098105,-3.279532,-4.850069,-35.141258,29.75106,73.436371,518.885742,539.243652,-30502.464844,723.930969,-184.687302,-1.017298,120033648640,412793.5625,308.507935,-0.22791,-0.013903,0.032964,0.014255,37.756245,59.117916,390.394958,412.102997,-14764.853516,544.347473,-132.244461,-1.004151,38871846912,228888.3125,692.772522,-0.045213,-0.005504,-0.000545,-0.000141,55.720798,14.260803,167.8927,185.718536,-272.413086,226.240356,-40.521824,-1.035562,1227238656,35581.03125,1166.171753,-0.001108,-0.000085,-0.000004,0,75.16011,12.453485,26.465773,26.537643,-133.870667,38.165901,-11.628259,-0.965202,873075,1239.729248,1031.790283,0.000007,-0.000001,0,0,62.011986,79.657898,29.305555,620.119873,17.821983,68.055557,cytosol
